"Leg Number","Start Coordinates","End Coordinates","Course","Leg Distance","Total Distance"
"1","Lat: 50.13482225840931, Long: -125.19264071646597","Lat: 50.140288628879595, Long: -125.18743899658128","31.377672301260418","0.7127389815827957","0.7127389815827957"
"2","Lat: 50.140288628879595, Long: -125.18743899658128","Lat: 50.14029606402202, Long: -125.155652309585","89.96688926491078","2.2723319647288007","2.9850709463115965"
"3","Lat: 50.14029606402202, Long: -125.155652309585","Lat: 50.12918310423349, Long: -125.14430177858239","146.78338688821242","1.4786888999322654","4.463759846243862"
"4","Lat: 50.12918310423349, Long: -125.14430177858239","Lat: 50.126109221029175, Long: -125.12980884960595","108.30077350714828","1.0912742279159056","5.555034074159767"
"5","Lat: 50.126109221029175, Long: -125.12980884960595","Lat: 50.18282259388138, Long: -125.05335848467438","40.78779618392008","8.345414947096549","13.900449021256316"
"6","Lat: 50.18282259388138, Long: -125.05335848467438","Lat: 50.18282259388138, Long: -125.04299597732143","89.99602032266608","0.7401265889265064","14.640575610182822"
"7","Lat: 50.18282259388138, Long: -125.04299597732143","Lat: 50.19451545570657, Long: -125.02370735516743","46.55766195792512","1.8944975897608984","16.53507319994372"
